participant_id,status,mean,std,min,max,split
303,ok,529.1923879242956,230.5023565513988,-1.3358701166920346,759.5811471334348,train
304,ok,579.4551941475977,274.52048520098447,-10.51543313708999,908.7278294785534,train
305,ok,494.649032501507,236.3954093861635,-2.4926254841359885,800.1176117131569,train
310,ok,524.1184530605433,262.5598797760155,-8.350853215666367,868.2213504236793,train
312,ok,474.26920810129707,241.86725794557094,-11.092670703695969,807.616428941324,train
313,ok,527.7848797136194,243.70826236159186,-3.081188725490196,818.0116417191878,train
315,ok,491.3911277594202,254.09934311499504,-2.664321234058388,842.458246473394,train
316,ok,457.58224005260615,232.52772715415242,-2.5950563845540495,776.8282416372404,train
317,ok,477.7757313508705,315.23989286683644,-4.598606271777004,959.9945151465466,train
318,ok,579.1760382504806,310.3243473281281,-2.52789771771435,1025.4453229406156,train
319,ok,498.1660954765287,227.48453753315457,-10.021744406154443,771.5784323642189,train
320,ok,424.2984681061338,192.7140786698155,-10.060007849293564,659.7826512951335,train
321,ok,418.27463865814406,190.60391751621916,-1.5573039175926677,655.8309682455998,train
322,ok,413.26425616012295,183.65390501349228,-2.713962816757927,619.4241749331466,train
324,ok,402.14046318840525,179.23936874519055,-8.771903881700554,599.3445290665434,train
325,ok,392.2932180464894,180.23185673711075,-0.4137366195573502,631.4682099729534,train
326,ok,386.9593647773273,172.06343890872742,-6.353255171099037,579.5104150224001,train
327,ok,406.4442801767731,192.69585610253404,-3.170852303324032,684.4709710187498,train
328,ok,359.7695823727512,166.52397212806042,-1.82247465264739,584.2065980410564,train
330,ok,356.87434179176597,161.8160380353739,-7.50648060139981,553.3384355396181,train
333,ok,485.3648741437948,289.5036917813507,-1.0488635191362057,902.6250852446616,train
336,ok,492.9069289758078,282.16759959447927,-9.017503617178953,904.3868801566855,train
338,ok,472.5202768562791,275.46454736573514,-3.325812576789903,869.2378787557243,train
339,ok,457.8260894335175,258.7094003784638,-1.0268422678819713,852.7231367217673,train
340,ok,502.20634069225105,263.37810487548353,-1.800222469410456,869.1897855951056,train
341,ok,478.0877662389259,255.62377878059252,-2.440811465017098,855.9404364313982,train
343,ok,547.8414291594429,268.4939547687903,-18.632373557640463,946.854956935907,train
344,ok,556.9079596836876,276.72091685315934,-20.777553640198057,922.981771135155,train
345,ok,637.3823733006262,282.6131050878027,-2.8964648585103703,958.0275594508356,train
347,ok,482.38250635916194,233.31009816765143,-2.5376607804665356,799.6949773272291,train
348,ok,526.9242003995353,276.87822609433726,-0.9425037064492217,911.6331224981468,train
350,ok,500.9211432580726,242.0167980327154,-2.4037800037800037,830.0163364581365,train
351,ok,589.2142868697238,268.2288349597828,-2.8509311390212213,907.6434573408402,train
352,ok,508.8090220410976,245.46398427737444,-1.1964223079621186,831.5885677393896,train
353,ok,524.1465059858992,268.97265578767366,-2.1741858887381276,882.908041977612,train
355,ok,615.025926639919,276.8061489656895,-7.1672759608734316,950.3746910878373,train
356,ok,506.29350868019975,258.60835495671864,-2.5656791503633314,864.3042162520961,train
357,ok,527.2144179156098,247.98715251442724,-16.1196272194103,840.0187024985939,train
358,ok,510.36780083086967,233.80221989850403,-9.088177796069555,801.4184352299619,train
360,ok,527.1689887047982,235.07440152673698,-4.767897684274255,815.3714696533979,train
362,ok,495.92071381509174,247.10129123530845,-3.9747600225861097,828.1773390175043,train
363,ok,519.1083004634249,255.101483077795,-1.0534579236160158,872.6448189547455,train
364,ok,414.14471222768987,208.18592887565737,-2.2107882575261475,710.4882776956612,train
366,ok,572.4170639952264,258.9403744057282,-2.6174043320382925,865.2979536324623,train
368,ok,516.973615008591,237.96698436932164,-2.3020051666871693,818.8240524787797,train
369,ok,584.4095778946303,253.7001506690513,-5.489435266999616,816.4543219042131,train
370,ok,524.0213190103619,259.8480838710909,-5.4677899729744635,881.9771382714687,train
